row ID,row m/z,row retention time,PUCE m1.mzML Peak area,PUCE m9.mzML Peak area,PUCE m12.mzML Peak area,PUCE m10.mzML Peak area,PUCE m11.mzML Peak area,PUCE m13.mzML Peak area,PUCE m14.mzML Peak area,PUCE m15.mzML Peak area,PUCE m16.mzML Peak area,PUCE m17.mzML Peak area,PUCE m18.mzML Peak area,PUCE m19.mzML Peak area,PUCE m2.mzML Peak area,PUCE m20.mzML Peak area,PUCE m21.mzML Peak area,PUCE m22.mzML Peak area,PUCE m23.mzML Peak area,PUCE m3.mzML Peak area,PUCE m4.mzML Peak area,PUCE m5.mzML Peak area,PUCE m6.mzML Peak area,PUCE m7.mzML Peak area,PUCE m8.mzML Peak area
375,0,45.42,12435544.990908604,19581615.528535534,18961998.447509076,21298865.79963964,16614272.793750513,21216307.108326145,14807759.30712028,12827954.711407768,13068132.338749928,14128465.917132398,15908611.23695932,8392530.148404237,10024832.874237297,9732743.121669265,12331893.631015098,14496432.603240466,1422652.5678663081,19942633.680016708,11629639.720736222,9128779.111012366,88745.73053438531,11622076.272457436,14353278.63169555
376,0,45.49,3638055.2091895062,4430258.371990718,291872.34399391635,3872237.896668792,532891.4891769609,1499859.7498469306,557244.2436746294,321120.0855203384,408022.75559356617,335327.21231696755,273612.4790566085,805980.1347918031,985338.95360948,275440387.3496337,1907850.42588358,672526.3807046597,645848.086252904,839870.0107600341,433259.0774820354,995294.067933377,699472179.5754285,3077771.9366647694,1147960.3377105645
377,0,45.64,142779147.68873212,123602898.03807124,123941502.25516471,122143505.27504136,131278082.09177381,130636514.9874426,92168178.86080998,96685449.1646494,92261333.55227324,102968901.56903788,97373506.72781844,54677912.35609222,145197465.77084196,76133122.46371989,90363139.69165815,76404346.87198438,19268272.93636036,115155371.78093174,106292105.67629798,100224790.2454454,130132621.83328976,107742701.74128751,113037657.81095792
378,0,45.83,3914312.018851474,4621637.9741350785,839884.8857749548,3223484.2744831173,4021787.526541455,4401416.173627757,582380.5530237141,1972131.3446613413,4266964.277989396,7369080.311792582,623173.7305065906,0.0,3403159.0955466814,12652471.977807075,2273099.306890718,2650239.1627218844,0.0,13379985.263686253,7703695.680582496,5414957.849595518,21104965.841014285,5514421.645833856,3385744.5592947896
379,0,45.83,2767976.192054708,2698546.5950978217,10772051.698895317,2823443.0490724836,2645598.586954818,99772.99268999873,12799996.334074713,9663480.971380107,199724.13795728085,114885.15112727418,15132569.71524573,0.0,1859138.5041093002,0.0,2392248.3121923925,3683018.111744432,4598219.331033723,2813062.278258789,2474817.2723362455,3153474.399032232,4377717.431380642,3565878.9880431294,1707873.4574191372
380,0,45.83,3762321.0753229363,4073289.4702233663,147810.96337432315,3598799.367288815,4344087.019231647,8179256.99411438,0.0,97748.12166518859,1810304.4720899025,1509594.9476763287,0.0,20495818.215103693,2603222.0953756026,1350237.499918332,801369.205683343,1329172.01462637,0.0,9229146.824458566,2567034.6403785218,1094811.9075098862,0.0,1434437.5016071997,2176446.5606899858
381,0,45.83,699582.5239283525,1510894.4621526164,0.0,896746.553172817,514192.44332443544,496332.23795393156,0.0,0.0,0.0,0.0,0.0,23776.82222396016,821957.0820130112,25837257.24410341,973076.1865040606,1946363.7688369872,19692473.483934045,0.0,100288.39614273905,750268.0631329449,1528757.2896653314,83109.17434728096,464699.7265730057
382,0,45.94,64776899.97429352,50050905.94619563,133928272.82212791,48959665.3543365,115461069.06809424,106707853.74625205,127140847.924887,550643.7932294671,114485130.2130484,0.0,118954185.1413988,106303712.08765677,60992366.83231192,148059070.68152824,90597889.82831123,96484035.46527144,106292694.34212992,81573470.10844041,56470374.812367395,45248503.55298279,72042248.12356436,47524978.74848287,53919099.12110883
383,0,45.94,0.0,0.0,0.0,0.0,0.0,947209.970938142,10808342.224365458,145410071.82187223,12697108.792041015,159419680.8133366,4996205.627695622,11372492.23354522,0.0,0.0,758834.9375042494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
384,0,46.05,126344214.50081964,151134936.86903098,71364267.92844227,130602031.69847324,170093192.044644,159953228.65382138,0.0,68322106.63367015,17639644.804181598,57976312.89639435,20383405.134932905,135741503.09679502,116086045.18825048,155574255.14342472,134205959.81471436,153620853.87249964,1330229.979339707,243702889.15126503,130942309.19295068,93288526.29611728,126309838.82345235,104574806.0284972,107102315.94973177
385,0,46.05,0.0,2515470.425828332,229022820.9012296,9973162.54596725,9713035.70039655,0.0,308632074.3386081,257098590.95503625,270898650.38031244,301526659.88812536,364937532.33219326,193763380.95513767,15001879.791790305,0.0,0.0,8954061.900550377,15625314.148801282,0.0,35044176.155814625,14903674.358314285,15298905.583949225,43975526.53781968,38992876.18707525
386,0,46.05,40020578.32326875,0.0,0.0,0.0,0.0,64697844.44678266,92962561.81801262,1296932.6389466177,97925442.09797876,1048097.2851752131,1153953.4009106457,100826809.33876196,0.0,120394545.6096185,60721065.90485521,26408053.61843615,82589585.41813576,66536868.60572934,160360.8727903816,0.0,0.0,0.0,0.0
387,0,46.25,8427903.57874109,8254143.137384323,5387980.569509104,6327867.4458215125,10391767.344428876,15605941.886498906,5932748.040639803,7675831.44753059,8977606.821487358,7237408.295590042,5349729.673727307,27280911.795245636,5718529.667077841,17320720.044145282,11541580.263164293,11916904.790065138,469917.43877425685,26067624.0182392,10213911.97378093,5293070.9428458,6488329.203053896,6211525.932986174,6100900.708490913
388,0,46.25,1067325.7717498192,785568.3916624894,7893092.588996926,1072569.104041429,9316725.352748264,7714111.817418028,49781601.52471989,6022967.320683368,4008505.375361723,7095138.694139527,8604931.925185613,0.0,4207940.250133929,2677152.2312608957,1584938.7607180541,1469189.9467469882,3950690.52532579,2665405.3705062475,2124764.466446367,2760454.7918474292,3016345.247865455,2688919.5234862408,1374426.0811888685
389,0,46.46,0.0,221784417.63306355,502636437.5733873,1041362714.8612972,400863200.368478,0.0,0.0,447037336.9617802,81479287.35182184,118438171.94998686,154556163.61965024,127210338.85748374,1257852736.6683578,0.0,0.0,0.0,0.0,1230410608.7705874,466349902.19502,1035157077.1042683,369729557.6283441,460725366.98533493,875790209.5870185
390,0,46.46,507772329.92217225,175047069.82554063,170605337.4570251,0.0,402505474.5080129,576243920.2918298,425234620.73019344,178580386.43019852,431694955.94513285,344763128.84215546,295135212.35960585,289625841.3695601,0.0,560027322.3918886,535155310.3466644,521392464.33601916,212287040.95183545,46801470.61914074,255648296.62174168,0.0,394323288.11674017,210017780.20335683,0.0
391,0,46.46,76755600.70411287,337005381.52657765,327666984.71646273,546360.3723494426,2466133.666408122,499514.87738217704,215427175.35449708,294269327.19810003,4777928.101405666,258083442.0844701,291319095.189549,280089910.7328855,0.0,3545042.565740372,0.0,135925362.77615765,142598478.8856527,0.0,3095981.664397872,0.0,2505355.5954471943,2711317.343281718,385671723.1437802
392,0,46.65,229405608.5463636,219286295.42924595,82788692.44181482,288837618.84455544,0.0,48355959.87559737,67335820.01227345,77215361.46338084,51447736.59475635,83615181.78251003,198533757.19649124,5794940.926728566,116810063.12594342,551086476.6458881,103224561.83096519,113618431.08865348,77518283.21066938,161962561.6326902,268305103.09522,438516727.2473119,540052819.8612661,451158132.76758593,228676404.17994457
393,0,46.65,0.0,6455465.442497713,1131181.2389591,7522449.581335545,244354094.08447495,0.0,0.0,1182359.7970209478,0.0,0.0,0.0,0.0,240128868.24881166,0.0,0.0,0.0,0.0,168253148.80936018,230596382.77993387,0.0,0.0,235670260.77715397,6873758.805409901
394,0,46.81,0.0,40676.78769705239,34461.615186173265,32541.561130202852,31863.60600691357,29236485.94472259,34569.966564672446,0.0,34201.423750589696,38423.46789524665,20379.28320827248,0.0,0.0,57360743.96299664,26258.995277091908,28664.102080403667,28057.690352075126,0.0,36497.756927824485,32272.658096382966,26232119.274810698,27795.36379337176,31154.340134245933
395,0,46.81,6569113.691295256,4508616.940860606,4486647.388313369,4047662.344354586,4517439.034110599,1795546.5987056326,4208025.8492531385,0.0,4071228.11125587,4397315.736061701,4474506.556596077,0.0,6426070.235878138,0.0,2938371.095007866,3366932.0431233337,945624.4021912819,10735491.791016908,5354204.708691087,4683819.778917838,2930449.7678816174,4087953.1309741535,4162293.017099197
396,0,46.81,0.0,57706.15255408225,57994.52399800058,50231.61753421469,54387.82467250632,51186.424722672,75480.09433717772,31745608.91595779,56281.75050277129,60785.090580549964,36457.82936809973,0.0,0.0,0.0,41198.18319752524,53090.232019584255,24772.181088965826,0.0,48864.76085922053,43781.59553605084,15641.071434252946,40780.603247993626,51309.63784726445
397,0,46.81,150761.52736416087,0.0,100517.02988437748,0.0,68036.711378967,18283.18889751381,226973.82257916871,57202.36513712291,90520.8831647084,101553.81234754506,93166.27505978939,22038711.122072574,66341.9464861429,4226.417819510871,66563.60738459819,72093.11627778398,45236.9575801264,117278.43182764795,107748.83042413963,103359.6612689139,58344.31477088332,0.0,107400.24198611373
398,0,46.90,96274782.69611442,90643094.267289,116044198.5572566,90326512.04498357,127656773.54024348,115089227.67223664,106506296.5228232,112901088.74448122,104872846.09399892,116117886.81671244,111398701.86966918,104663377.26504797,101047790.96627589,115896444.7422124,97044533.80161709,92827724.90937229,44661806.774011455,105286109.49872154,94777743.52642764,75738049.56580807,93285878.25877956,87554488.67494702,85923886.88381559
399,0,46.90,0.0,0.0,43182962.26963199,0.0,33912833.93748353,80698262.57503746,49384660.54411823,47729214.8786176,50718427.1831719,53273209.50300616,45299157.48711203,33657631.84503418,0.0,88682786.36886932,67153315.98445238,58801282.15924295,20635661.37399384,31534.77298003853,424887.7972014198,0.0,0.0,613041.1831668785,1875580.5532508309
400,0,46.99,443689718.0685896,462147464.2497026,1743051.4940644982,414516916.6180928,0.0,3040247.6456630807,0.0,1406833.2116774842,2070913.322386563,2397318.715823092,2083149.0429761475,1661460.0407262454,234488502.02351707,20103165.57151,1179610.0922106465,0.0,818570.0588483764,207388694.13165182,144884104.5898785,147616568.06836808,298842799.8927854,125979052.41746354,139461051.82086575
